Variable_name;LSEG_code
Quality Mgt Systems Score;TR.AnalyticQMSScore
Quality Mgt Systems;TR.AnalyticQMS
Safety Performance Monitoring;TR.SafetyPerformanceMonitoring
Six Sigma and Quality Mgt Systems;TR.SixSigmaQMS
Environmental Supply Chain Monitoring;TR.EnvSupplyChainMonitoring
Integrated Strategy in MD&A Score;TR.IntegratedStrategyMDnAScore
Integrated Strategy in MD&A;TR.IntegratedStrategyMD&A
Findings from Supplier Monitoring;TR.FindingsfromSupplierMonitoring
Temporary Staff Proportion;TR.TemporaryStaffProportion
Training and Development Policy;TR.AnalyticTrainingDevPolicy
Salary Gap;TR.AnalyticSalaryGap
Salaries and Wages from CSR reporting;TR.SalariesCSRreporting
Management Departures;TR.MgtDepartures
Involuntary Turnover;TR.InvoluntaryTurnoverEmployees
Risk Assessment Labour Standards;TR.RiskAssessmentLabourStandards
Corruption Due Diligence;TR.CorruptionDueDiligence
Corruption Oversight;TR.CorruptionOversight
Corruption Risk Assessment;TR.CorruptionRiskAssessment
QMS Certified Percent;TR.QMSCertifiedPct
Customer Satisfaction;TR.CustomerSatisfaction
Median Salary Gap;TR.MedianSalaryGap
Audit Board Committee;TR.AuditComm
Compensation Improvement Tools;TR.ImprovementToolsExecComp
Succession Plan;TR.BoardSuccessionPlan
Total Senior Executive Compensation;TR.SeniorExecsTotalComp
Total Senior Executive Compensation to Revenue;TR.AnalyticSeniorExecsTotalComp
Accounting Controversies;TR.AnalyticAccountingControv
Accounting Controversies Count;TR.ControvAccounting
Product Responsibility Score;TR.TRESGProductResponsibilityScore
Management Score;TR.TRESGManagementScore
Operating Expense Total;TR.F.OPEXPNTOT
WACC Short Term Debt;TR.WACCShortTermDebtCost
WACC Long Term Debt;TR.WACCLongTermDebtCost
Total Current Assets;TR.F.TOTCURRASSETS
Total Return;TR.TotalReturn
Total Return (52 weeks);TR.TotalReturn52Wk
EBIT Margin;TR.F.EBITMargPct
